prefix,entity,itu_zone,cq_zone
VP9,Bermuda,5,5
VP2E,Anguilla,8,11
VP2M,Montserrat,8,11
VP2V,British Virgin Islands,8,11
VP5,Turks & Caicos Islands,8,11
VP6,Pitcairn Island,63,32
VP8,Falkland Islands,16,13
VP8/G,South Georgia Island,73,38
VP8/H,South Sandwich Islands,73,38
VP8/O,South Orkney Islands,73,38
VP8/S,South Shetland Islands,73,38
VK0M,Macquarie Island,60,29
VK0H,Heard Island,68,29
VK9C,Cocos (Keeling) Islands,54,29
VK9L,Lord Howe Island,60,30
VK9M,Mellish Reef,56,30
VK9N,Norfolk Island,60,32
VK9W,Willis Island,55,30
VK9X,Christmas Island,54,29
ZL7,Chatham Islands,60,32
ZL8,Kermadec Islands,62,32
ZL9,Auckland & Campbell Islands,60,32
ZD7,St. Helena,66,36
ZD8,Ascension Island,66,36
ZD9,Tristan da Cunha,66,38
ZS8,Prince Edward & Marion Islands,67,38
3Y/B,Bouvet Island,67,38
3Y/P,Peter 1 Island,73,12
CE9,Antarctica,73,38
RI1ANT,Antarctica,73,38
VP8/B,South Georgia Island,73,38
FT5W,Crozet Island,68,38
FT5X,Kerguelen Islands,68,39
FT5Z,Amsterdam & St. Paul Islands,68,39
FR/E,Europa Island,53,39
FR/G,Glorioso Islands,53,39
FR/J,Juan de Nova,53,39
FR/T,Tromelin Island,53,39
JD/M,Minami Torishima,45,27
JD/O,Ogasawara,45,25
KH1,Baker & Howland Islands,62,31
KH2,Guam,64,27
KH3,Johnston Island,61,31
KH4,Midway Island,61,31
KH5,Palmyra & Jarvis Islands,62,31
KH5K,Kingman Reef,61,31
KH6,Hawaii,61,31
KH7K,Kure Island,61,31
KH8,American Samoa,62,32
KH9,Wake Island,65,27
KH0,Mariana Islands,64,27
KP1,Navassa Island,8,11
KP2,US Virgin Islands,8,11
KP4,Puerto Rico,8,11
KP5,Desecheo Island,8,11
NH7,Hawaii,61,31
NL7,Alaska,1,1
WH2,Guam,64,27
WH6,Hawaii,61,31
WL7,Alaska,1,1
WP4,Puerto Rico,8,11
PY0F,Fernando de Noronha,11,13
PY0S,St. Peter & St. Paul Rocks,11,13
PY0T,Trindade & Martim Vaz Islands,11,13
CE0X,San Felix Islands,14,12
CE0Y,Easter Island,63,12
CE0Z,Juan Fernandez Islands,14,12
XF4,Revillagigedo,7,10
CY0,Sable Island,5,5
CY9,St. Paul Island,5,5
FO/A,Austral Islands,63,32
FO/C,Clipperton Island,7,10
FO/M,Marquesas Islands,62,31
FK/C,Chesterfield Islands,56,28
E5/N,North Cook Islands,62,32
E5/S,South Cook Islands,62,32
VU4,Andaman & Nicobar Islands,26,26
VU7,Lakshadweep Islands,22,26
9M0,Spratly Islands,54,26
